id,active,name,login,password,notification_email_send,signature
,YES,Barcoe Jenks,bjenks,maestro,Never,"--
Hardware Engineer
Swift Construction Company"
,YES,Barton Swift,bswift,maestro,Never,"--
President
Swift Construction Company"
,YES,Bub Armstrong,barmstrong,maestro,Never,"--
Mechanical Engineer
Swift Construction Company"
,YES,Frank Mason,fmason,maestro,Never,"--
Engineering Project Coordinator
Swift Construction Company"
,YES,Garret Jackson,gjackson,maestro,Never,"--
Production Planner
Swift Construction Company"
,YES,Hank Baldwin,hbaldwin,maestro,Never,"--
Lead Hand
Swift Construction Company"
,YES,Helen Randall,hrandall,maestro,Never,"--
AP Clerk
Swift Construction Company"
,YES,Jacab Wood,jwood,maestro,Never,"--
Sales Agent
Swift Construction Company"
,YES,James Period,jperiod,maestro,Never,"--
Director, Sales & Marketing
Swift Construction Company"
,YES,Jennie Haddon,jhaddon,maestro,Never,"--
Buyer
Swift Construction Company"
,YES,Jennie Morse,jmorse,maestro,Never,"--
AR Clerk
Swift Construction Company"
,YES,John Sharp,jsharp,maestro,Never,"--
Director, Prod Mgmt
Swift Construction Company"
,YES,Martha Baggert,mbaggert,maestro,Never,"--
Director, Human Resources
Swift Construction Company"
,YES,Mary Nestor,mnestor,maestro,Never,"--
Director, MIS-IT
Swift Construction Company"
,YES,Minnie Blair,mblair,maestro,Never,"--
Software Engineer
Swift Construction Company"
,YES,Miquel DeLazes,mdelazes,maestro,Never,"--
Director, Manufacturing
Swift Construction Company"
,YES,Ned Newton,nnewton,maestro,Never,"--
Chief Financial Officer
Swift Construction Company"
,YES,Rad Sampson,rsampson,maestro,Never,"--
Director, Quality
Swift Construction Company"
,YES,Sarah Malloy,smalloy,maestro,Never,"--
Receiver
Swift Construction Company"
,YES,Tom Swift,tswift,maestro,Never,"--
Director, Engineering
Swift Construction Company"
,YES,Wakefield Damon,wdamon,maestro,Never,"--
Technical Writer
Swift Construction Company"
,YES,William Crawford,wcrawford,maestro,Never,"--
Director, Legal
Swift Construction Company"
