username,status,password,email,nick,lname,fname,initial,profile
bjenks,1,appleton,bjenks@firefly.scc.loc,BJ,Jenks,Barcoe,BJ,2
bswift,1,appleton,bswift@firefly.scc.loc,BS,Swift,Barton,BS,1
barmstrong,1,appleton,barmstrong@firefly.scc.loc,BA,Armstrong,Bub,BA,2
fmason,1,appleton,fmason@firefly.scc.loc,FM,Mason,Frank,FM,2
gjackson,1,appleton,gjackson@firefly.scc.loc,GJ,Jackson,Garret,GJ,3
hbaldwin,1,appleton,hbaldwin@firefly.scc.loc,HB,Baldwin,Hank,HB,1
hrandall,1,appleton,hrandall@firefly.scc.loc,HR,Randall,Helen,HR,4
jwood,1,appleton,jwood@firefly.scc.loc,JW,Wood,Jacab,JW,5
jperiod,1,appleton,jperiod@firefly.scc.loc,JP,Period,James,JP,1
jhaddon,1,appleton,jhaddon@firefly.scc.loc,JH,Haddon,Jennie,JH,6
jmorse,1,appleton,jmorse@firefly.scc.loc,JM,Morse,Jennie,JM,4
jsharp,1,appleton,jsharp@firefly.scc.loc,JS,Sharp,John,JS,1
mbaggert,1,appleton,mbaggert@firefly.scc.loc,MB,Baggert,Martha,MB,1
mnestor,1,appleton,mnestor@firefly.scc.loc,MN,Nestor,Mary,MN,0
mblair,1,appleton,mblair@firefly.scc.loc,MB,Blair,Minnie,MB,2
mdelazes,1,appleton,mdelazes@firefly.scc.loc,MD,DeLazes,Miquel,MD,7
nnewton,1,appleton,nnewton@firefly.scc.loc,NN,Newton,Ned,NN,1
rsampson,1,appleton,rsampson@firefly.scc.loc,RS,Sampson,Rad,RS,1
smalloy,1,appleton,smalloy@firefly.scc.loc,SM,Malloy,Sarah,SM,6
tswift,1,appleton,tswift@firefly.scc.loc,TS,Swift,Tom,TS,1
wdamon,1,appleton,wdamon@firefly.scc.loc,WD,Damon,Wakefield,WD,1
wcrawford,1,appleton,wcrawford@firefly.scc.loc,WC,Crawford,William,WC,1
