id,username,password,email,nick,lname,fname,initial,status_id,profile_id
1,admin,admin,tswift@swiftconstructioncompany.net,AD,User,Admin,AD,2,1
2,demo,demo,tswift@swiftconstructioncompany.net,DU,User,Demo,DU,2,2
3,bjenks,appleton,bjenks@swiftconstructioncompany.net,BJ,Jenks,Barcoe,BJ,2,3
4,bswift,appleton,bswift@swiftconstructioncompany.net,BS,Swift,Barton,BS,2,9
5,barmstrong,appleton,barmstrong@swiftconstructioncompany.net,BA,Armstrong,Bub,BA,2,3
6,fmason,appleton,fmason@swiftconstructioncompany.net,FM,Mason,Frank,FM,2,3
7,gjackson,appleton,gjackson@swiftconstructioncompany.net,GJ,Jackson,Garret,GJ,2,5
8,hbaldwin,appleton,hbaldwin@swiftconstructioncompany.net,HB,Baldwin,Hank,HB,2,9
9,hrandall,appleton,hrandall@swiftconstructioncompany.net,HR,Randall,Helen,HR,2,4
10,jwood,appleton,jwood@swiftconstructioncompany.net,JW,Wood,Jacab,JW,2,8
11,jperiod,appleton,jperiod@swiftconstructioncompany.net,JP,Period,James,JP,2,9
12,jhaddon,appleton,jhaddon@swiftconstructioncompany.net,JH,Haddon,Jennie,JH,2,6
13,jmorse,appleton,jmorse@swiftconstructioncompany.net,JM,Morse,Jennie,JM,2,4
14,jsharp,appleton,jsharp@swiftconstructioncompany.net,JS,Sharp,John,JS,2,9
15,mbaggert,appleton,mbaggert@swiftconstructioncompany.net,MB,Baggert,Martha,MB,2,9
16,mnestor,appleton,mnestor@swiftconstructioncompany.net,MN,Nestor,Mary,MN,2,1
17,mblair,appleton,mblair@swiftconstructioncompany.net,MB,Blair,Minnie,MB,2,3
18,mdelazes,appleton,mdelazes@swiftconstructioncompany.net,MD,DeLazes,Miquel,MD,2,7
19,nnewton,appleton,nnewton@swiftconstructioncompany.net,NN,Newton,Ned,NN,2,9
20,rsampson,appleton,rsampson@swiftconstructioncompany.net,RS,Sampson,Rad,RS,2,9
21,smalloy,appleton,smalloy@swiftconstructioncompany.net,SM,Malloy,Sarah,SM,2,6
22,tswift,appleton,tswift@swiftconstructioncompany.net,TS,Swift,Tom,TS,2,9
23,wdamon,appleton,wdamon@swiftconstructioncompany.net,WD,Damon,Wakefield,WD,2,9
24,wcrawford,appleton,wcrawford@swiftconstructioncompany.net,WC,Crawford,William,WC,2,9
