id,username,password,email,nick,lname,fname,initial,status_id,profile_id
1,admin,admin,tswift@swiftconstructioncompany.net,AD,User,Admin,,2,1
2,demo,demo,tswift@swiftconstructioncompany.net,DU,User,Demo,,2,2
3,bjenks,appleton,bjenks@swiftconstructioncompany.net,BJ,Jenks,Barcoe,,2,3
4,bswift,appleton,bswift@swiftconstructioncompany.net,BS,Swift,Barton,,2,9
5,barmstrong,appleton,barmstrong@swiftconstructioncompany.net,BA,Armstrong,Bub,,2,3
6,fmason,appleton,fmason@swiftconstructioncompany.net,FM,Mason,Frank,,2,3
7,gjackson,appleton,gjackson@swiftconstructioncompany.net,GJ,Jackson,Garret,,2,5
8,hbaldwin,appleton,hbaldwin@swiftconstructioncompany.net,HB,Baldwin,Hank,,2,9
9,hrandall,appleton,hrandall@swiftconstructioncompany.net,HR,Randall,Helen,,2,4
10,jwood,appleton,jwood@swiftconstructioncompany.net,JW,Wood,Jacab,,2,8
11,jperiod,appleton,jperiod@swiftconstructioncompany.net,JP,Period,James,,2,9
12,jhaddon,appleton,jhaddon@swiftconstructioncompany.net,JH,Haddon,Jennie,,2,6
13,jmorse,appleton,jmorse@swiftconstructioncompany.net,JM,Morse,Jennie,,2,4
14,jsharp,appleton,jsharp@swiftconstructioncompany.net,JS,Sharp,John,,2,9
15,mbaggert,appleton,mbaggert@swiftconstructioncompany.net,MB,Baggert,Martha,,2,9
16,mnestor,appleton,mnestor@swiftconstructioncompany.net,MN,Nestor,Mary,,2,1
17,mblair,appleton,mblair@swiftconstructioncompany.net,MB,Blair,Minnie,,2,3
18,mdelazes,appleton,mdelazes@swiftconstructioncompany.net,MD,DeLazes,Miquel,,2,7
19,nnewton,appleton,nnewton@swiftconstructioncompany.net,NN,Newton,Ned,,2,9
20,rsampson,appleton,rsampson@swiftconstructioncompany.net,RS,Sampson,Rad,,2,9
21,smalloy,appleton,smalloy@swiftconstructioncompany.net,SM,Malloy,Sarah,,2,6
22,tswift,appleton,tswift@swiftconstructioncompany.net,TS,Swift,Tom,,2,9
23,wdamon,appleton,wdamon@swiftconstructioncompany.net,WD,Damon,Wakefield,,2,9
24,wcrawford,appleton,wcrawford@swiftconstructioncompany.net,WC,Crawford,William,,2,9
