id,username,password,email,nick,lname,fname,initial,status_id,profile_id
0,bjenks,bjenks,bjenks@swiftconstructioncompany.net,BJ,Jenks,Barcoe,BJ,1,1
1,bswift,bswift,bswift@swiftconstructioncompany.net,BS,Swift,Barton,BS,1,7
2,barmstrong,barmstrong,barmstrong@swiftconstructioncompany.net,BA,Armstrong,Bub,BA,1,1
3,fmason,fmason,fmason@swiftconstructioncompany.net,FM,Mason,Frank,FM,1,1
4,gjackson,gjackson,gjackson@swiftconstructioncompany.net,GJ,Jackson,Garret,GJ,1,3
5,hbaldwin,hbaldwin,hbaldwin@swiftconstructioncompany.net,HB,Baldwin,Hank,HB,1,7
6,hrandall,hrandall,hrandall@swiftconstructioncompany.net,HR,Randall,Helen,HR,1,2
7,jwood,jwood,jwood@swiftconstructioncompany.net,JW,Wood,Jacab,JW,1,6
8,jperiod,jperiod,jperiod@swiftconstructioncompany.net,JP,Period,James,JP,1,7
9,jhaddon,jhaddon,jhaddon@swiftconstructioncompany.net,JH,Haddon,Jennie,JH,1,4
10,jmorse,jmorse,jmorse@swiftconstructioncompany.net,JM,Morse,Jennie,JM,1,2
11,jsharp,jsharp,jsharp@swiftconstructioncompany.net,JS,Sharp,John,JS,1,7
12,mbaggert,mbaggert,mbaggert@swiftconstructioncompany.net,MB,Baggert,Martha,MB,1,7
13,mnestor,mnestor,mnestor@swiftconstructioncompany.net,MN,Nestor,Mary,MN,1,0
14,mblair,mblair,mblair@swiftconstructioncompany.net,MB,Blair,Minnie,MB,1,1
15,mdelazes,mdelazes,mdelazes@swiftconstructioncompany.net,MD,DeLazes,Miquel,MD,1,5
16,nnewton,nnewton,nnewton@swiftconstructioncompany.net,NN,Newton,Ned,NN,1,7
17,rsampson,rsampson,rsampson@swiftconstructioncompany.net,RS,Sampson,Rad,RS,1,7
18,smalloy,smalloy,smalloy@swiftconstructioncompany.net,SM,Malloy,Sarah,SM,1,4
19,tswift,tswift,tswift@swiftconstructioncompany.net,TS,Swift,Tom,TS,1,7
20,wdamon,wdamon,wdamon@swiftconstructioncompany.net,WD,Damon,Wakefield,WD,1,7
21,wcrawford,wcrawford,wcrawford@swiftconstructioncompany.net,WC,Crawford,William,WC,1,7
22,admin,admin,tswift@swiftconstructioncompany.net,admin,Administrator,System,SA,1,0
23,demo,demo,tswift@swiftconstructioncompany.net,demo,User,Demo,DU,1,9
