Username,uid,gid,class,change,expire,gecos,home_dir,shell,Password,user file record
bjenks,,,,,,"Barcoe Jenks, Electronics Engineer",,tcsh,appleton,"bjenks::::::Barcoe Jenks, Electronics Engineer::tcsh:appleton"
bswift,,,,,,"Barton Swift, President",,tcsh,appleton,"bswift::::::Barton Swift, President::tcsh:appleton"
barmstrong,,,,,,"Bub Armstrong, Mechanical Engineer",,tcsh,appleton,"barmstrong::::::Bub Armstrong, Mechanical Engineer::tcsh:appleton"
fmason,,,,,,"Frank Mason, Engineering Project Coordinator",,tcsh,appleton,"fmason::::::Frank Mason, Engineering Project Coordinator::tcsh:appleton"
gjackson,,,,,,"Garret Jackson, Production Planner",,tcsh,appleton,"gjackson::::::Garret Jackson, Production Planner::tcsh:appleton"
hbaldwin,,,,,,"Hank Baldwin, Lead Hand",,tcsh,appleton,"hbaldwin::::::Hank Baldwin, Lead Hand::tcsh:appleton"
hrandall,,,,,,"Helen Randall, AP Clerk",,tcsh,appleton,"hrandall::::::Helen Randall, AP Clerk::tcsh:appleton"
jwood,,,,,,"Jacab Wood, Sales Agent",,tcsh,appleton,"jwood::::::Jacab Wood, Sales Agent::tcsh:appleton"
jperiod,,,,,,"James Period, Director, Sales & Marketing",,tcsh,appleton,"jperiod::::::James Period, Director, Sales & Marketing::tcsh:appleton"
jhaddon,,,,,,"Jennie Haddon, Buyer",,tcsh,appleton,"jhaddon::::::Jennie Haddon, Buyer::tcsh:appleton"
jmorse,,,,,,"Jennie Morse, AR Clerk",,tcsh,appleton,"jmorse::::::Jennie Morse, AR Clerk::tcsh:appleton"
jsharp,,,,,,"John Sharp, Director, Prod Mgmt",,tcsh,appleton,"jsharp::::::John Sharp, Director, Prod Mgmt::tcsh:appleton"
mbaggert,,,,,,"Martha Baggert, Director, Human Resources",,tcsh,appleton,"mbaggert::::::Martha Baggert, Director, Human Resources::tcsh:appleton"
mnestor,,,,,,"Mary Nestor, Director, MIS-IT",,tcsh,appleton,"mnestor::::::Mary Nestor, Director, MIS-IT::tcsh:appleton"
mblair,,,,,,"Minnie Blair, Software Engineer",,tcsh,appleton,"mblair::::::Minnie Blair, Software Engineer::tcsh:appleton"
mdelazes,,,,,,"Miquel DeLazes, Director, Manufacturing",,tcsh,appleton,"mdelazes::::::Miquel DeLazes, Director, Manufacturing::tcsh:appleton"
nnewton,,,,,,"Ned Newton, Chief Financial Officer",,tcsh,appleton,"nnewton::::::Ned Newton, Chief Financial Officer::tcsh:appleton"
rsampson,,,,,,"Rad Sampson, Director, Quality",,tcsh,appleton,"rsampson::::::Rad Sampson, Director, Quality::tcsh:appleton"
smalloy,,,,,,"Sarah Malloy, Receiver",,tcsh,appleton,"smalloy::::::Sarah Malloy, Receiver::tcsh:appleton"
tswift,,,,,,"Tom Swift, Director, Engineering",,tcsh,appleton,"tswift::::::Tom Swift, Director, Engineering::tcsh:appleton"
wdamon,,,,,,"Wakefield Damon, Technical Writer",,tcsh,appleton,"wdamon::::::Wakefield Damon, Technical Writer::tcsh:appleton"
wcrawford,,,,,,"William Crawford, Director, Legal",,tcsh,appleton,"wcrawford::::::William Crawford, Director, Legal::tcsh:appleton"
