"id","username","password","email","nick","lname","fname","initial","status_id","profile_id"
1,"admin","admin","tswift@swiftconstructioncompany.net","AD","User","Admin","AD",1,0
2,"demo","demo","tswift@swiftconstructioncompany.net","DU","User","Demo","DU",1,1
3,"bjenks","appleton","bjenks@swiftconstructioncompany.net","BJ","Jenks","Barcoe","BJ",1,2
4,"bswift","appleton","bswift@swiftconstructioncompany.net","BS","Swift","Barton","BS",1,8
5,"barmstrong","appleton","barmstrong@swiftconstructioncompany.net","BA","Armstrong","Bub","BA",1,2
6,"fmason","appleton","fmason@swiftconstructioncompany.net","FM","Mason","Frank","FM",1,2
7,"gjackson","appleton","gjackson@swiftconstructioncompany.net","GJ","Jackson","Garret","GJ",1,4
8,"hbaldwin","appleton","hbaldwin@swiftconstructioncompany.net","HB","Baldwin","Hank","HB",1,8
9,"hrandall","appleton","hrandall@swiftconstructioncompany.net","HR","Randall","Helen","HR",1,3
10,"jwood","appleton","jwood@swiftconstructioncompany.net","JW","Wood","Jacab","JW",1,7
11,"jperiod","appleton","jperiod@swiftconstructioncompany.net","JP","Period","James","JP",1,8
12,"jhaddon","appleton","jhaddon@swiftconstructioncompany.net","JH","Haddon","Jennie","JH",1,5
13,"jmorse","appleton","jmorse@swiftconstructioncompany.net","JM","Morse","Jennie","JM",1,3
14,"jsharp","appleton","jsharp@swiftconstructioncompany.net","JS","Sharp","John","JS",1,8
15,"mbaggert","appleton","mbaggert@swiftconstructioncompany.net","MB","Baggert","Martha","MB",1,8
16,"mnestor","appleton","mnestor@swiftconstructioncompany.net","MN","Nestor","Mary","MN",1,0
17,"mblair","appleton","mblair@swiftconstructioncompany.net","MB","Blair","Minnie","MB",1,2
18,"mdelazes","appleton","mdelazes@swiftconstructioncompany.net","MD","DeLazes","Miquel","MD",1,6
19,"nnewton","appleton","nnewton@swiftconstructioncompany.net","NN","Newton","Ned","NN",1,8
20,"rsampson","appleton","rsampson@swiftconstructioncompany.net","RS","Sampson","Rad","RS",1,8
21,"smalloy","appleton","smalloy@swiftconstructioncompany.net","SM","Malloy","Sarah","SM",1,5
22,"tswift","appleton","tswift@swiftconstructioncompany.net","TS","Swift","Tom","TS",1,8
23,"wdamon","appleton","wdamon@swiftconstructioncompany.net","WD","Damon","Wakefield","WD",1,8
24,"wcrawford","appleton","wcrawford@swiftconstructioncompany.net","WC","Crawford","William","WC",1,8
