"cn","givenName","sn","title","mail","manager","objectClass","objectClass","uid","userPassword"
"Admin User","Admin","User",,"tswift@swiftconstructioncompany.net",,"inetOrgPerson","top","admin","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Demo User","Demo","User",,"tswift@swiftconstructioncompany.net",,,,,
"Barcoe Jenks","Barcoe","Jenks","Electronics Engineer","bjenks@swiftconstructioncompany.net","cn=Tom Swift,ou=People,dc=root,dc=org","inetOrgPerson","top","bjenks","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Barton Swift","Barton","Swift","President","bswift@swiftconstructioncompany.net",,"inetOrgPerson","top","bswift","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Bub Armstrong","Bub","Armstrong","Mechanical Engineer","barmstrong@swiftconstructioncompany.net","cn=Tom Swift,ou=People,dc=root,dc=org","inetOrgPerson","top","barmstrong","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Frank Mason","Frank","Mason","Engineering Project Coordinator","fmason@swiftconstructioncompany.net","cn=Tom Swift,ou=People,dc=root,dc=org","inetOrgPerson","top","fmason","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Garret Jackson","Garret","Jackson","Production Planner","gjackson@swiftconstructioncompany.net","cn=Miguel DeLazes,ou=People,dc=root,dc=org","inetOrgPerson","top","gjackson","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Hank Baldwin","Hank","Baldwin","Lead Hand","hbaldwin@swiftconstructioncompany.net","cn=Miguel DeLazes,ou=People,dc=root,dc=org","inetOrgPerson","top","hbaldwin","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Helen Randall","Helen","Randall","AP Clerk","hrandall@swiftconstructioncompany.net","cn=Ned Newton,ou=People,dc=root,dc=org","inetOrgPerson","top","hrandall","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Jacab Wood","Jacab","Wood","Sales Agent","jwood@swiftconstructioncompany.net","cn=James Period,ou=People,dc=root,dc=org","inetOrgPerson","top","jwood","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"James Period","James","Period","Director, Sales & Marketing","jperiod@swiftconstructioncompany.net","cn=Barton Swift,ou=People,dc=root,dc=org","inetOrgPerson","top","jperiod","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Jennie Haddon","Jennie","Haddon","Buyer","jhaddon@swiftconstructioncompany.net","cn=Miguel DeLazes,ou=People,dc=root,dc=org","inetOrgPerson","top","jhaddon","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Jennie Morse","Jennie","Morse","AR Clerk","jmorse@swiftconstructioncompany.net","cn=Ned Newton,ou=People,dc=root,dc=org","inetOrgPerson","top","jmorse","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"John Sharp","John","Sharp","Director, Prod Mgmt","jsharp@swiftconstructioncompany.net","cn=Barton Swift,ou=People,dc=root,dc=org","inetOrgPerson","top","jsharp","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Martha Baggert","Martha","Baggert","Director, Human Resources","mbaggert@swiftconstructioncompany.net","cn=Barton Swift,ou=People,dc=root,dc=org","inetOrgPerson","top","mbaggert","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
"Mary Nestor","Mary","Nestor","Director, MIS-IT","mnestor@swiftconstructioncompany.net","cn=Barton Swift,ou=People,dc=root,dc=org","inetOrgPerson","top","mnestor","{SSHA}cAvUmw90CDKPDmPlym92Ym/GGDEdgvWU"
