"User-id","Lastname","Firstname","Phonenumber","Email","Initials","Address","Zipcode","City","State/Province","Country","Job Title","Date of Birth","Department","Employer","Supervisor","Function Level","Security Profile","Password"
"bjenks","Jenks","Barcoe","1-315-123-4567","bjenks@whizzer.local","BJ","#1 - 2 Swift Way",13054,"Shopton","NY","USA","Hardware Engineer",1-Jan-59,"Engineering","SCC","Tom Swift","Professional Technical 08","User","appleton"
"bswift","Swift","Barton","1-315-123-4567","bswift@whizzer.local","BS","#2 - 2 Swift Way",13054,"Shopton","NY","USA","President",1-Feb-39,"Management","SCC",,"Management 13","User","appleton"
"barmstrong","Armstrong","Bub","1-315-123-4567","barmstrong@whizzer.local","BA","#3 - 2 Swift Way",13054,"Shopton","NY","USA","Mechanical Engineer",1-Mar-59,"Engineering","SCC","Tom Swift","Professional Technical 09","User","appleton"
"fmason","Mason","Frank","1-315-123-4567","fmason@whizzer.local","FM","#4 - 2 Swift Way",13054,"Shopton","NY","USA","Engineering Project Coordinator",1-Apr-59,"Engineering","SCC","Tom Swift","Professional Technical 09","User","appleton"
"gjackson","Jackson","Garret","1-315-123-4567","gjackson@whizzer.local","GJ","#5 - 2 Swift Way",13054,"Shopton","NY","USA","Production Planner",1-May-59,"Manufacturing","SCC","Miguel DeLazes","Management 06","User","appleton"
"hbaldwin","Baldwin","Hank","1-315-123-4567","hbaldwin@whizzer.local","HB","#6 - 2 Swift Way",13054,"Shopton","NY","USA","Lead Hand",1-Jun-59,"Manufacturing","SCC","Miguel DeLazes","Production 05","User","appleton"
"hrandall","Randall","Helen","1-315-123-4567","hrandall@whizzer.local","HR","#7 - 2 Swift Way",13054,"Shopton","NY","USA","AP Clerk",1-Jul-59,"Finance","SCC","Ned Newton","Clerical 02","User","appleton"
"jwood","Wood","Jacab","1-315-123-4567","jwood@whizzer.local","JW","#8 - 2 Swift Way",13054,"Shopton","NY","USA","Sales Agent",1-Aug-59,"Sales & Marketing","SCC","James Period","Sales & Marketing 07","User","appleton"
"jperiod","Period","James","1-315-123-4567","jperiod@whizzer.local","JP","#9 - 2 Swift Way",13054,"Shopton","NY","USA","Director, Sales & Marketing",1-Sep-59,"Sales & Marketing","SCC","Barton Swift","Management 10","User","appleton"
"jhaddon","Haddon","Jennie","1-315-123-4567","jhaddon@whizzer.local","JH","#10 - 2 Swift Way",13054,"Shopton","NY","USA","Buyer",1-Oct-59,"Manufacturing","SCC","Miguel DeLazes","Clerical 03","User","appleton"
"jmorse","Morse","Jennie","1-315-123-4567","jmorse@whizzer.local","JM","#11 - 2 Swift Way",13054,"Shopton","NY","USA","AR Clerk",1-Nov-59,"Finance","SCC","Ned Newton","Clerical 04","User","appleton"
"jsharp","Sharp","John","1-315-123-4567","jsharp@whizzer.local","JS","#12 - 2 Swift Way",13054,"Shopton","NY","USA","Director, Prod Mgmt",1-Dec-59,"Product Management","SCC","Barton Swift","Management 10","User","appleton"
"mbaggert","Baggert","Martha","1-315-123-4567","mbaggert@whizzer.local","MB","#13 - 2 Swift Way",13054,"Shopton","NY","USA","Director, Human Resources",1-Jan-35,"Human Resources","SCC","Barton Swift","Management 10","User","appleton"
"mnestor","Nestor","Mary","1-315-123-4567","mnestor@whizzer.local","MN","#14 - 2 Swift Way",13054,"Shopton","NY","USA","Director, MIS-IT",14-Mar-65,"MIS/IT","SCC","Barton Swift","Management 10","Sysadmin","appleton"
"mblair","Blair","Minnie","1-315-123-4567","mblair@whizzer.local","MB","#15 - 2 Swift Way",13054,"Shopton","NY","USA","Software Engineer",1-Mar-60,"Engineering","SCC","Tom Swift","Professional Technical 09","User","appleton"
"mdelazes","DeLazes","Miquel","1-315-123-4567","mdelazes@whizzer.local","MD","#16 - 2 Swift Way",13054,"Shopton","NY","USA","Director, Manufacturing",1-Apr-60,"Manufacturing","SCC","Barton Swift","Management 09","User","appleton"
"nnewton","Newton","Ned","1-315-123-4567","nnewton@whizzer.local","NN","#17 - 2 Swift Way",13054,"Shopton","NY","USA","Chief Financial Officer",1-May-60,"Finance","SCC","Barton Swift","Management 11","User","appleton"
"rsampson","Sampson","Rad","1-315-123-4567","rsampson@whizzer.local","RS","#18 - 2 Swift Way",13054,"Shopton","NY","USA","Director, Quality",1-Jun-37,"Quality","SCC","Barton Swift","Management 10","User","appleton"
"smalloy","Malloy","Sarah","1-315-123-4567","smalloy@whizzer.local","SM","#19 - 2 Swift Way",13054,"Shopton","NY","USA","Receiver",1-Jul-60,"Manufacturing","SCC","Miguel DeLazes","Production 02","User","appleton"
"tswift","Swift","Tom","1-315-123-4567","tswift@whizzer.local","TS","#20 - 2 Swift Way",13054,"Shopton","NY","USA","Director, Engineering",25-Nov-59,"Engineering","SCC","Barton Swift","Management 12","User","appleton"
"wdamon","Damon","Wakefield","1-315-123-4567","wdamon@whizzer.local","WD","#21 - 2 Swift Way",13054,"Shopton","NY","USA","Technical Writer",1-Sep-60,"Product Management","SCC","John Sharp","Technical 07","User","appleton"
"wcrawford","Crawford","William","1-315-123-4567","wcrawford@whizzer.local","WC","#22 - 2 Swift Way",13054,"Shopton","NY","USA","Director, Legal",1-Oct-60,"Legal","SCC","Barton Swift","Management 11","User","appleton"
