cn,givenName,sn,title,mail,manager,objectClass,objectClass,uid,userPassword
Administrator User,Administrator,User,,,,inetOrgPerson,top,administrator,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Administrator User,Administrator,User,,,,inetOrgPerson,top,admin,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Barcoe Jenks,Barcoe,Jenks,Electronic Engineer,bjenks@whizzer.local,"cn=Tom Swift,dc=scc,dc=org",inetOrgPerson,top,bjenks,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Barton Swift,Barton,Swift,President,bswift@whizzer.local,,inetOrgPerson,top,bswift,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Bub Armstrong,Bub,Armstrong,Mechanical Engineer,barmstrong@whizzer.local,"cn=Tom Swift,dc=scc,dc=org",inetOrgPerson,top,barmstrong,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Frank Mason,Frank,Mason,Engineering Project Coordinator,fmason@whizzer.local,"cn=Tom Swift,dc=scc,dc=org",inetOrgPerson,top,fmason,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Garret Jackson,Garret,Jackson,Production Planner,gjackson@whizzer.local,"cn=Miguel DeLazes,dc=scc,dc=org",inetOrgPerson,top,gjackson,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Hank Baldwin,Hank,Baldwin,Lead Hand,hbaldwin@whizzer.local,"cn=Miguel DeLazes,dc=scc,dc=org",inetOrgPerson,top,hbaldwin,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Helen Randall,Helen,Randall,AP Clerk,hrandall@whizzer.local,"cn=Ned Newton,dc=scc,dc=org",inetOrgPerson,top,hrandall,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Jacab Wood,Jacab,Wood,Sales Agent,jwood@whizzer.local,"cn=James Period,dc=scc,dc=org",inetOrgPerson,top,jwood,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
James Period,James,Period,"Director, Sales & Marketing",jperiod@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,jperiod,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Jennie Haddon,Jennie,Haddon,Buyer,jhaddon@whizzer.local,"cn=Miguel DeLazes,dc=scc,dc=org",inetOrgPerson,top,jhaddon,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Jennie Morse,Jennie,Morse,AR Clerk,jmorse@whizzer.local,"cn=Ned Newton,dc=scc,dc=org",inetOrgPerson,top,jmorse,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
John Sharp,John,Sharp,"Director, Prod Mgmt",jsharp@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,jsharp,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Martha Baggert,Martha,Baggert,"Director, Human Resources",mbaggert@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,mbaggert,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Mary Nestor,Mary,Nestor,"Director, MIS-IT",mnestor@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,mnestor,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Minnie Blair,Minnie,Blair,Software Engineer,mblair@whizzer.local,"cn=Tom Swift,dc=scc,dc=org",inetOrgPerson,top,mblair,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Miquel DeLazes,Miquel,DeLazes,"Director, Manufacturing",mdelazes@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,mdelazes,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Ned Newton,Ned,Newton,Chief Financial Officer,nnewton@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,nnewton,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Rad Sampson,Rad,Sampson,"Director, Quality",rsampson@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,rsampson,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Sarah Malloy,Sarah,Malloy,Receiver,smalloy@whizzer.local,"cn=Miguel DeLazes,dc=scc,dc=org",inetOrgPerson,top,smalloy,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Tom Swift,Tom,Swift,"Director, Engineering",tswift@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,tswift,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
Wakefield Damon,Wakefield,Damon,Technical Writer,wdamon@whizzer.local,"cn=John Sharp,dc=scc,dc=org",inetOrgPerson,top,wdamon,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
William Crawford,William,Crawford,"Director, Legal",wcrawford@whizzer.local,"cn=Barton Swift,dc=scc,dc=org",inetOrgPerson,top,wcrawford,{SSHA}Fa8SeAxWzHRAu+qQZJRAhH93JbZRICUg
