Login,Active,Name,Password,Signature
bjenks,1,Barcoe Jenks,appleton,"--
Hardware Engineer
Swift Construction Company"
bswift,1,Barton Swift,appleton,"--
President
Swift Construction Company"
barmstrong,1,Bub Armstrong,appleton,"--
Mechanical Engineer
Swift Construction Company"
fmason,1,Frank Mason,appleton,"--
Engineering Project Coordinator
Swift Construction Company"
gjackson,1,Garret Jackson,appleton,"--
Production Planner
Swift Construction Company"
hbaldwin,1,Hank Baldwin,appleton,"--
Lead Hand
Swift Construction Company"
hrandall,1,Helen Randall,appleton,"--
AP Clerk
Swift Construction Company"
jwood,1,Jacab Wood,appleton,"--
Sales Agent
Swift Construction Company"
jperiod,1,James Period,appleton,"--
Director, Sales & Marketing
Swift Construction Company"
jhaddon,1,Jennie Haddon,appleton,"--
Buyer
Swift Construction Company"
jmorse,1,Jennie Morse,appleton,"--
AR Clerk
Swift Construction Company"
jsharp,1,John Sharp,appleton,"--
Director, Prod Mgmt
Swift Construction Company"
mbaggert,1,Martha Baggert,appleton,"--
Director, Human Resources
Swift Construction Company"
mnestor,1,Mary Nestor,appleton,"--
Director, MIS-IT
Swift Construction Company"
mblair,1,Minnie Blair,appleton,"--
Software Engineer
Swift Construction Company"
mdelazes,1,Miquel DeLazes,appleton,"--
Director, Manufacturing
Swift Construction Company"
nnewton,1,Ned Newton,appleton,"--
Chief Financial Officer
Swift Construction Company"
rsampson,1,Rad Sampson,appleton,"--
Director, Quality
Swift Construction Company"
smalloy,1,Sarah Malloy,appleton,"--
Receiver
Swift Construction Company"
tswift,1,Tom Swift,appleton,"--
Director, Engineering
Swift Construction Company"
wdamon,1,Wakefield Damon,appleton,"--
Technical Writer
Swift Construction Company"
wcrawford,1,William Crawford,appleton,"--
Director, Legal
Swift Construction Company"
